absolute_floor,relative_fraction,physical_ceiling,guardrail_warning,training_points,retained_rank,condition_number,worst_normalized_error,tolerance_headroom,tolerance_safety_factor,limiting_R,minimum_guardrail_prediction,any_guardrail_below_warning,strict_pass
1,0.02,4000,3000,180,158,32.095281605235051,0.22361639100410713,0.77638360899589287,4.4719440981481231,5.5999999999999996,4005.2911458517424,False,True
1,0.02,4000,3000,182,158,31.631806499922718,0.22119735071063218,0.77880264928936782,4.5208498057835627,5.5999999999999996,4004.0952881349035,False,True
1,0.02,4000,3000,200,158,37.0659114543082,0.23883005333415161,0.76116994666584836,4.1870777401740193,4.4000000000000004,4004.3034168699451,False,True
1,0.02,4000,4000,161,158,55.687741526756376,0.31986704689321854,0.68013295310678146,3.1262989098524763,5.2000000000000002,4009.3211785118583,False,True
1,0.02,4000,4000,175,158,32.488635004355977,0.22729053202432681,0.77270946797567319,4.3996553270110272,5.5999999999999996,4005.837232504869,False,True
1,0.02,4000,4000,180,158,32.095281605235051,0.22361639100410713,0.77638360899589287,4.4719440981481231,5.5999999999999996,4005.2911458517424,False,True
1,0.02,4000,4000,182,158,31.631806499922718,0.22119735071063218,0.77880264928936782,4.5208498057835627,5.5999999999999996,4004.0952881349035,False,True
1,0.02,4000,4000,200,158,37.0659114543082,0.23883005333415161,0.76116994666584836,4.1870777401740193,4.4000000000000004,4004.3034168699451,False,True
1,0.02,5000,3000,161,158,55.687741526756376,0.31986704689321854,0.68013295310678146,3.1262989098524763,5.2000000000000002,5000.7034572288039,False,True
1,0.02,5000,3000,175,158,32.488635004355977,0.22729053202432681,0.77270946797567319,4.3996553270110272,5.5999999999999996,5000.7318175084847,False,True
1,0.02,5000,3000,180,158,32.095281605235051,0.22361639100410713,0.77638360899589287,4.4719440981481231,5.5999999999999996,5000.7301799893448,False,True
1,0.02,5000,3000,182,158,31.631806499922718,0.22119735071063218,0.77880264928936782,4.5208498057835627,5.5999999999999996,5000.7259667584167,False,True
1,0.02,5000,3000,200,158,37.0659114543082,0.23883005333415161,0.76116994666584836,4.1870777401740193,4.4000000000000004,5000.7422641677231,False,True
1,0.02,5000,4000,161,158,55.687741526756376,0.31986704689321854,0.68013295310678146,3.1262989098524763,5.2000000000000002,5000.7034572288039,False,True
1,0.02,5000,4000,175,158,32.488635004355977,0.22729053202432681,0.77270946797567319,4.3996553270110272,5.5999999999999996,5000.7318175084847,False,True
1,0.02,5000,4000,180,158,32.095281605235051,0.22361639100410713,0.77638360899589287,4.4719440981481231,5.5999999999999996,5000.7301799893448,False,True
1,0.02,5000,4000,182,158,31.631806499922718,0.22119735071063218,0.77880264928936782,4.5208498057835627,5.5999999999999996,5000.7259667584167,False,True
1,0.02,5000,4000,200,158,37.0659114543082,0.23883005333415161,0.76116994666584836,4.1870777401740193,4.4000000000000004,5000.7422641677231,False,True
2,0.0050000000000000001,4000,3000,161,158,55.687741526756376,0.94087623390249497,0.059123766097505026,1.0628390472275784,4.4000000000000004,4009.3211785118583,False,True
2,0.0050000000000000001,4000,3000,175,158,32.488635004355977,0.72814247066514071,0.27185752933485929,1.3733576055336039,4.4000000000000004,4005.837232504869,False,True
2,0.0050000000000000001,4000,3000,180,158,32.095281605235051,0.66059052142932639,0.33940947857067361,1.5137970763435871,4.4000000000000004,4005.2911458517424,False,True
2,0.0050000000000000001,4000,3000,182,158,31.631806499922718,0.61248331166444536,0.38751668833555464,1.6326975461298108,4.4000000000000004,4004.0952881349035,False,True
2,0.0050000000000000001,4000,3000,200,158,37.0659114543082,0.95532021333660644,0.044679786663393561,1.0467694350435048,4.4000000000000004,4004.3034168699451,False,True
2,0.0050000000000000001,4000,4000,161,158,55.687741526756376,0.94087623390249497,0.059123766097505026,1.0628390472275784,4.4000000000000004,4009.3211785118583,False,True
2,0.0050000000000000001,4000,4000,175,158,32.488635004355977,0.72814247066514071,0.27185752933485929,1.3733576055336039,4.4000000000000004,4005.837232504869,False,True
2,0.0050000000000000001,4000,4000,180,158,32.095281605235051,0.66059052142932639,0.33940947857067361,1.5137970763435871,4.4000000000000004,4005.2911458517424,False,True
2,0.0050000000000000001,4000,4000,182,158,31.631806499922718,0.61248331166444536,0.38751668833555464,1.6326975461298108,4.4000000000000004,4004.0952881349035,False,True
2,0.0050000000000000001,4000,4000,200,158,37.0659114543082,0.95532021333660644,0.044679786663393561,1.0467694350435048,4.4000000000000004,4004.3034168699451,False,True
2,0.0050000000000000001,5000,3000,161,158,55.687741526756376,0.94087623390249497,0.059123766097505026,1.0628390472275784,4.4000000000000004,5000.7034572288039,False,True
2,0.0050000000000000001,5000,3000,175,158,32.488635004355977,0.72814247066514071,0.27185752933485929,1.3733576055336039,4.4000000000000004,5000.7318175084847,False,True
2,0.0050000000000000001,5000,3000,180,158,32.095281605235051,0.66059052142932639,0.33940947857067361,1.5137970763435871,4.4000000000000004,5000.7301799893448,False,True
2,0.0050000000000000001,5000,3000,182,158,31.631806499922718,0.61248331166444536,0.38751668833555464,1.6326975461298108,4.4000000000000004,5000.7259667584167,False,True
2,0.0050000000000000001,5000,3000,200,158,37.0659114543082,0.95532021333660644,0.044679786663393561,1.0467694350435048,4.4000000000000004,5000.7422641677231,False,True
2,0.0050000000000000001,5000,4000,161,158,55.687741526756376,0.94087623390249497,0.059123766097505026,1.0628390472275784,4.4000000000000004,5000.7034572288039,False,True
2,0.0050000000000000001,5000,4000,175,158,32.488635004355977,0.72814247066514071,0.27185752933485929,1.3733576055336039,4.4000000000000004,5000.7318175084847,False,True
2,0.0050000000000000001,5000,4000,180,158,32.095281605235051,0.66059052142932639,0.33940947857067361,1.5137970763435871,4.4000000000000004,5000.7301799893448,False,True
2,0.0050000000000000001,5000,4000,182,158,31.631806499922718,0.61248331166444536,0.38751668833555464,1.6326975461298108,4.4000000000000004,5000.7259667584167,False,True
2,0.0050000000000000001,5000,4000,200,158,37.0659114543082,0.95532021333660644,0.044679786663393561,1.0467694350435048,4.4000000000000004,5000.7422641677231,False,True
2,0.01,4000,3000,161,158,55.687741526756376,0.47043811695124749,0.52956188304875251,2.1256780944551568,4.4000000000000004,4009.3211785118583,False,True
2,0.01,4000,3000,175,158,32.488635004355977,0.36407123533257035,0.63592876466742965,2.7467152110672077,4.4000000000000004,4005.837232504869,False,True
2,0.01,4000,3000,180,158,32.095281605235051,0.3302952607146632,0.6697047392853368,3.0275941526871741,4.4000000000000004,4005.2911458517424,False,True
2,0.01,4000,3000,182,158,31.631806499922718,0.30624165583222268,0.69375834416777726,3.2653950922596215,4.4000000000000004,4004.0952881349035,False,True
2,0.01,4000,3000,200,158,37.0659114543082,0.47766010666830322,0.52233989333169673,2.0935388700870097,4.4000000000000004,4004.3034168699451,False,True
2,0.01,4000,4000,161,158,55.687741526756376,0.47043811695124749,0.52956188304875251,2.1256780944551568,4.4000000000000004,4009.3211785118583,False,True
2,0.01,4000,4000,175,158,32.488635004355977,0.36407123533257035,0.63592876466742965,2.7467152110672077,4.4000000000000004,4005.837232504869,False,True
2,0.01,4000,4000,180,158,32.095281605235051,0.3302952607146632,0.6697047392853368,3.0275941526871741,4.4000000000000004,4005.2911458517424,False,True
2,0.01,4000,4000,182,158,31.631806499922718,0.30624165583222268,0.69375834416777726,3.2653950922596215,4.4000000000000004,4004.0952881349035,False,True
2,0.01,4000,4000,200,158,37.0659114543082,0.47766010666830322,0.52233989333169673,2.0935388700870097,4.4000000000000004,4004.3034168699451,False,True
2,0.01,5000,3000,161,158,55.687741526756376,0.47043811695124749,0.52956188304875251,2.1256780944551568,4.4000000000000004,5000.7034572288039,False,True
2,0.01,5000,3000,175,158,32.488635004355977,0.36407123533257035,0.63592876466742965,2.7467152110672077,4.4000000000000004,5000.7318175084847,False,True
2,0.01,5000,3000,180,158,32.095281605235051,0.3302952607146632,0.6697047392853368,3.0275941526871741,4.4000000000000004,5000.7301799893448,False,True
2,0.01,5000,3000,182,158,31.631806499922718,0.30624165583222268,0.69375834416777726,3.2653950922596215,4.4000000000000004,5000.7259667584167,False,True
2,0.01,5000,3000,200,158,37.0659114543082,0.47766010666830322,0.52233989333169673,2.0935388700870097,4.4000000000000004,5000.7422641677231,False,True
2,0.01,5000,4000,161,158,55.687741526756376,0.47043811695124749,0.52956188304875251,2.1256780944551568,4.4000000000000004,5000.7034572288039,False,True
2,0.01,5000,4000,175,158,32.488635004355977,0.36407123533257035,0.63592876466742965,2.7467152110672077,4.4000000000000004,5000.7318175084847,False,True
2,0.01,5000,4000,180,158,32.095281605235051,0.3302952607146632,0.6697047392853368,3.0275941526871741,4.4000000000000004,5000.7301799893448,False,True
2,0.01,5000,4000,182,158,31.631806499922718,0.30624165583222268,0.69375834416777726,3.2653950922596215,4.4000000000000004,5000.7259667584167,False,True
2,0.01,5000,4000,200,158,37.0659114543082,0.47766010666830322,0.52233989333169673,2.0935388700870097,4.4000000000000004,5000.7422641677231,False,True
2,0.02,4000,3000,161,158,55.687741526756376,0.23521905847562374,0.76478094152437626,4.2513561889103135,4.4000000000000004,4009.3211785118583,False,True
2,0.02,4000,3000,175,158,32.488635004355977,0.18203561766628518,0.81796438233371482,5.4934304221344155,4.4000000000000004,4005.837232504869,False,True
2,0.02,4000,3000,180,158,32.095281605235051,0.1651476303573316,0.8348523696426684,6.0551883053743483,4.4000000000000004,4005.2911458517424,False,True
2,0.02,4000,3000,182,158,31.631806499922718,0.15312082791611134,0.84687917208388863,6.5307901845192431,4.4000000000000004,4004.0952881349035,False,True
2,0.02,4000,3000,200,158,37.0659114543082,0.23883005333415161,0.76116994666584836,4.1870777401740193,4.4000000000000004,4004.3034168699451,False,True
2,0.02,4000,4000,161,158,55.687741526756376,0.23521905847562374,0.76478094152437626,4.2513561889103135,4.4000000000000004,4009.3211785118583,False,True
2,0.02,4000,4000,175,158,32.488635004355977,0.18203561766628518,0.81796438233371482,5.4934304221344155,4.4000000000000004,4005.837232504869,False,True
2,0.02,4000,4000,180,158,32.095281605235051,0.1651476303573316,0.8348523696426684,6.0551883053743483,4.4000000000000004,4005.2911458517424,False,True
2,0.02,4000,4000,182,158,31.631806499922718,0.15312082791611134,0.84687917208388863,6.5307901845192431,4.4000000000000004,4004.0952881349035,False,True
2,0.02,4000,4000,200,158,37.0659114543082,0.23883005333415161,0.76116994666584836,4.1870777401740193,4.4000000000000004,4004.3034168699451,False,True
2,0.02,5000,3000,161,158,55.687741526756376,0.23521905847562374,0.76478094152437626,4.2513561889103135,4.4000000000000004,5000.7034572288039,False,True
2,0.02,5000,3000,175,158,32.488635004355977,0.18203561766628518,0.81796438233371482,5.4934304221344155,4.4000000000000004,5000.7318175084847,False,True
2,0.02,5000,3000,180,158,32.095281605235051,0.1651476303573316,0.8348523696426684,6.0551883053743483,4.4000000000000004,5000.7301799893448,False,True
2,0.02,5000,3000,182,158,31.631806499922718,0.15312082791611134,0.84687917208388863,6.5307901845192431,4.4000000000000004,5000.7259667584167,False,True
2,0.02,5000,3000,200,158,37.0659114543082,0.23883005333415161,0.76116994666584836,4.1870777401740193,4.4000000000000004,5000.7422641677231,False,True
2,0.02,5000,4000,161,158,55.687741526756376,0.23521905847562374,0.76478094152437626,4.2513561889103135,4.4000000000000004,5000.7034572288039,False,True
2,0.02,5000,4000,175,158,32.488635004355977,0.18203561766628518,0.81796438233371482,5.4934304221344155,4.4000000000000004,5000.7318175084847,False,True
2,0.02,5000,4000,180,158,32.095281605235051,0.1651476303573316,0.8348523696426684,6.0551883053743483,4.4000000000000004,5000.7301799893448,False,True
2,0.02,5000,4000,182,158,31.631806499922718,0.15312082791611134,0.84687917208388863,6.5307901845192431,4.4000000000000004,5000.7259667584167,False,True
